OTU	Dry_F_1	Dry_F_2	Dry_F_3	Dry_F_4	Dry_F_5	Dry_N_1	Dry_N_2	Dry_N_3	Dry_N_4	Dry_N_5	Wet_F_1	Wet_F_2	Wet_F_3	Wet_F_4	Wet_F_5	Wet_N_1	Wet_N_2	Wet_N_3	Wet_N_4	Wet_N_5
OTU_77	29	2	0	4	167	35	0	1	13	17	1	5	3	2	4	0	3	1	0	8
OTU_79	0	1	0	1	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	2
OTU_80	19	0	0	0	0	0	0	0	0	7	0	2	1	0	0	0	1	3	0	24
OTU_81	0	2	0	0	0	31	2	6	0	3	0	2	7	0	3	2	4	0	0	0
OTU_84	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_85	1	4	0	3	3	6	9	1	5	0	0	0	0	0	0	0	0	0	0	0
OTU_86	20	0	0	19	0	0	2	1	5	0	0	7	22	51	2	3	0	25	0	3
OTU_88	121	72	127	242	29	457	168	180	187	31	21	26	55	33	34	22	10	34	3	64
OTU_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
OTU_90	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	16	0
OTU_91	0	6	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_92	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_93	0	0	0	5	9	0	0	0	0	8	0	0	0	0	0	1	0	0	57	0
OTU_94	1	0	0	79	2	1	15	0	0	0	0	0	0	8	0	12	0	0	0	0
OTU_95	7	0	0	0	1	0	1	0	0	0	8	0	0	5	4	13	8	0	0	2
OTU_96	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	0	0
OTU_98	0	1	0	1	0	1	0	0	4	0	0	0	0	1	1	0	1	0	1	1
OTU_100	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0
OTU_102	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	1	5	3	0
OTU_103	0	0	15	13	9	0	0	6	7	18	0	0	0	0	0	0	0	0	0	0
OTU_104	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	14	0	0	0	0
OTU_105	176	0	7	1	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU_106	0	0	0	0	3	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0
OTU_108	2	0	0	1	0	8	3	1	3	0	0	0	0	0	2	1	0	0	0	1
OTU_109	0	0	1	0	0	0	0	0	0	0	0	5	1	1	0	0	5	0	0	0
OTU_110	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	3	0	0	0	0
OTU_111	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
OTU_112	0	4	1	2	0	3	1	1	0	1	13	12	22	16	9	4	3	22	21	1
OTU_113	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_114	5	9	33	18	1	4	19	13	37	1	0	0	0	0	0	0	0	0	0	4
OTU_115	1	2	4	1	0	5	5	3	1	5	76	14	11	30	9	3	7	26	1	1
OTU_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_118	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_119	3	0	0	0	0	11	0	0	0	2	0	7	9	12	4	0	3	0	0	0
OTU_120	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU_121	2	2	4	0	5	3	2	6	2	11	5	0	0	6	2	0	3	14	28	3
OTU_122	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_123	8	0	0	2	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_124	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_125	0	0	0	0	0	0	0	0	0	0	13	0	9	0	2	1	0	6	1	0
OTU_126	1	11	12	8	0	5	17	10	2	0	2	0	1	3	1	4	1	2	3	1
OTU_127	4	0	0	1	1	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0
OTU_128	13	4	10	3	1	12	1	3	0	1	0	3	25	11	0	5	5	0	0	8
OTU_130	0	0	0	2	0	1	0	0	6	1	0	0	0	2	0	0	1	0	46	1
OTU_131	2	1	0	0	5	15	1	8	17	0	3	0	1	0	0	0	4	0	0	0
OTU_132	0	0	5	1	0	0	1	1	4	0	0	0	0	2	0	1	1	0	11	0
OTU_133	19	1	0	0	13	0	1	4	3	3	27	10	42	28	32	18	9	0	0	29
OTU_134	0	0	5	1	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_135	4	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU_136	0	0	0	0	0	0	0	0	0	15	0	0	0	0	27	31	0	0	0	0
OTU_137	42	2	0	14	2	2	1	1	6	1	2	0	0	2	0	4	0	16	3	0
OTU_138	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1
OTU_139	0	1	0	0	0	3	1	0	0	0	0	0	1	2	0	4	0	0	0	0
OTU_142	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0
OTU_143	1	3	0	0	1	1	1	0	0	1	5	3	49	50	90	78	29	7	0	12
OTU_144	1	0	0	3	0	2	6	0	0	0	3	39	23	2	3	7	5	11	16	4
OTU_145	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
OTU_146	161	66	29	80	58	151	64	32	70	35	0	0	1	1	11	0	0	3	3	7
OTU_148	39	7	0	7	3	6	9	9	1	2	0	0	0	0	0	0	0	0	0	0
OTU_149	4	18	19	29	6	11	11	17	5	27	0	0	0	0	10	1	0	0	0	25
OTU_150	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
OTU_151	0	1	1	5	5	0	2	1	1	0	5	0	0	1	0	2	0	0	0	0
OTU_152	1	8	15	10	0	1	20	1	38	5	0	0	0	0	0	0	0	0	0	0
OTU_153	13	13	3	10	2	21	21	3	7	0	0	0	0	0	0	0	0	0	0	0
OTU_154	0	0	0	1	0	1	0	0	1	0	5	6	3	12	4	8	1	1	0	3
OTU_156	3	0	0	0	1	12	1	0	0	0	0	7	1	2	0	0	1	2	9	0
OTU_158	6	0	25	20	0	5	41	20	17	0	0	0	0	0	0	0	7	0	0	7
OTU_159	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
OTU_160	0	0	10	0	23	0	17	7	26	9	0	18	57	0	7	0	32	7	0	13
OTU_161	1	15	6	8	2	6	22	27	0	3	15	9	8	21	10	0	11	41	1	32
OTU_162	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_163	2	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1
OTU_164	29	7	0	9	0	17	28	0	5	6	0	26	0	0	0	0	14	0	0	0
OTU_166	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0
OTU_167	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_168	0	2	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	4	0	0
OTU_170	17	4	0	4	2	28	4	0	0	2	11	15	21	37	8	19	12	19	1	12
OTU_172	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_173	0	0	0	1	0	3	2	0	0	1	0	0	1	0	0	0	0	0	0	0
OTU_174	2	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	2
OTU_176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	0	16
OTU_177	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_178	3	18	13	19	1	1	32	8	19	3	0	0	0	0	0	0	0	0	0	0
OTU_180	2	0	3	5	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0
OTU_181	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
OTU_182	2	0	0	1	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_183	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_185	1	0	0	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU_186	0	0	0	0	0	0	0	0	0	0	2	2	11	2	0	7	4	3	0	0
OTU_187	0	2	0	0	1	0	0	0	0	0	68	1	1	0	3	0	23	19	2	0
OTU_188	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_189	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_190	0	0	0	0	1	1	0	0	0	0	6	46	47	2	3	8	0	2	2	0
OTU_191	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_192	0	0	0	0	0	0	0	0	0	0	1	3	5	22	0	6	3	0	0	0
OTU_193	1	5	5	15	2	0	37	4	4	2	0	9	0	0	1	0	0	1	0	0
