OTU	Dry_F_1	Dry_F_2	Dry_F_3	Dry_F_4	Dry_F_5	Dry_N_1	Dry_N_2	Dry_N_3	Dry_N_4	Dry_N_5	Wet_F_1	Wet_F_2	Wet_F_3	Wet_F_4	Wet_F_5	Wet_N_1	Wet_N_2	Wet_N_3	Wet_N_4	Wet_N_5
OTU_355	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
OTU_356	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_357	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_358	0	0	0	0	0	0	0	0	0	0	4	2	3	5	8	7	1	9	0	1
OTU_359	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_360	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
OTU_361	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1
OTU_362	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0
OTU_364	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_366	20	0	0	0	0	7	0	0	0	0	0	0	3	1	11	4	0	4	0	3
OTU_368	3	5	0	3	0	5	6	2	2	0	0	2	2	1	4	0	4	4	0	7
OTU_369	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_370	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1
OTU_371	1	0	0	0	1	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0
OTU_372	25	0	0	0	0	14	7	0	0	0	2	2	13	1	3	0	1	0	2	18
OTU_373	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0
OTU_375	4	5	2	6	3	2	2	1	2	1	0	8	1	4	0	0	1	6	0	2
OTU_376	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
OTU_377	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	1
OTU_379	1	3	0	0	0	9	0	2	0	0	4	0	9	0	10	0	2	2	6	14
OTU_380	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU_381	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_382	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
OTU_383	1	1	65	0	0	8	0	42	1	1	0	2	3	7	1	3	0	0	0	1
OTU_384	0	16	5	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_385	0	5	0	0	0	0	4	0	1	0	0	0	0	3	0	0	0	0	2	0
OTU_387	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0
OTU_388	0	0	0	0	0	0	0	2	0	0	4	0	0	0	4	0	0	0	0	0
OTU_389	0	0	0	0	0	0	0	0	0	1	1	2	6	1	0	1	0	0	0	0
OTU_390	1	7	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0
OTU_392	0	3	1	2	0	0	2	0	0	1	1	0	0	1	3	0	0	0	0	2
OTU_393	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_394	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_395	9	0	0	1	0	0	0	3	0	0	0	0	16	12	7	7	0	0	0	16
OTU_398	15	0	0	1	1	9	2	0	0	11	0	0	0	3	1	0	0	1	0	35
OTU_399	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
OTU_401	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	0
OTU_402	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0
OTU_403	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1
OTU_405	1	1	3	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_406	0	2	0	1	3	0	50	0	0	0	0	0	0	4	15	0	0	0	4	15
OTU_407	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	3
OTU_408	0	5	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU_409	5	0	0	3	0	17	3	1	3	1	0	1	0	0	3	0	2	0	0	0
OTU_410	0	0	1	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
OTU_411	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
OTU_412	0	1	10	12	0	0	48	0	40	1	0	0	0	0	0	0	0	0	0	5
OTU_414	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_415	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_416	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0
OTU_418	0	2	5	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	0
OTU_419	2	6	1	1	5	3	0	1	2	1	2	2	0	0	0	0	1	1	1	3
OTU_420	0	0	4	7	0	0	15	14	3	0	0	0	0	0	0	0	0	0	0	0
OTU_423	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0
OTU_424	0	0	0	7	0	0	0	0	6	1	0	0	0	7	3	0	0	0	3	8
OTU_425	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_426	0	0	0	3	0	7	0	0	3	0	3	0	2	0	0	0	0	2	2	0
OTU_430	0	1	0	0	0	0	1	0	0	0	2	5	0	0	0	22	2	0	0	0
OTU_431	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	2	0	0
OTU_432	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
OTU_433	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_434	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	11
OTU_435	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_436	0	2	19	10	0	0	5	7	3	0	0	0	0	0	0	0	0	0	0	0
OTU_438	0	0	7	3	5	0	0	6	2	2	0	0	8	0	1	0	0	0	0	1
OTU_439	0	4	0	0	0	0	16	0	0	0	0	2	0	0	8	1	0	0	0	1
OTU_441	0	22	11	3	9	1	13	12	3	1	1	1	2	1	0	1	0	0	0	0
OTU_443	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_444	0	0	0	0	1	0	0	0	0	0	32	2	14	1	0	3	0	16	8	0
OTU_445	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
OTU_446	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
OTU_447	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	1	0	0	0	3
OTU_448	0	0	2	1	0	1	0	1	1	0	0	5	3	3	1	1	2	1	0	0
OTU_449	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
OTU_450	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	0
OTU_451	0	21	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_452	0	0	0	1	0	0	0	0	0	0	4	2	1	0	0	0	1	3	1	0
OTU_454	5	2	1	1	1	7	2	4	1	3	1	0	2	3	7	1	0	0	0	4
OTU_456	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	27	1	0	0
OTU_457	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_458	1	0	0	0	1	8	1	0	1	2	7	3	2	7	1	4	3	4	0	2
OTU_459	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_460	7	0	0	0	1	0	1	0	2	0	4	0	12	7	4	4	0	5	0	0
OTU_461	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_462	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_464	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_465	0	0	5	30	4	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU_466	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	1	2	0
OTU_467	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0
OTU_468	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
OTU_470	0	0	0	0	0	0	0	0	0	0	5	2	2	6	0	4	1	0	0	0
OTU_472	28	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_473	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
OTU_480	12	0	0	0	0	0	0	0	0	0	1	2	6	1	0	2	0	4	0	0
OTU_481	0	2	8	2	0	0	2	2	1	1	0	0	0	2	0	0	0	0	0	0
OTU_482	0	0	0	12	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0
OTU_484	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	1
OTU_487	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_489	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6
OTU_490	6	0	4	3	0	7	2	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_491	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
OTU_492	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0
OTU_494	2	13	15	15	8	13	20	15	2	8	1	7	8	7	7	0	2	0	0	6
OTU_496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_499	0	2	0	0	0	2	30	15	1	1	0	1	0	0	0	0	0	1	0	0
OTU_501	0	7	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU_502	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_504	0	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0
OTU_505	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	28
OTU_506	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_507	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_508	2	0	0	4	1	9	0	0	10	6	0	0	0	0	0	0	0	0	0	0
OTU_509	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_510	0	0	0	43	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_512	10	0	0	7	2	4	13	0	2	1	0	0	0	0	0	0	0	0	0	0
OTU_513	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1
OTU_514	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_517	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1
OTU_518	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	17
OTU_521	0	0	0	0	0	0	0	0	0	0	5	0	6	2	0	0	0	0	0	0
OTU_522	4	0	0	0	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU_523	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_524	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	8	17	0
OTU_525	1	0	0	0	0	0	0	0	3	0	0	0	0	13	2	0	0	0	4	2
OTU_526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
OTU_527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0
OTU_529	0	0	1	10	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_532	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_534	0	0	5	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_538	0	0	0	0	0	0	0	0	0	0	0	2	0	7	1	0	0	0	0	0
OTU_539	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_540	0	2	0	0	1	0	0	3	0	0	10	2	10	5	0	5	3	0	0	3
OTU_541	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
OTU_542	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
OTU_543	3	1	0	2	4	2	9	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_545	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_546	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
OTU_547	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_549	0	0	0	0	0	0	0	3	0	1	0	0	1	0	6	0	0	0	0	1
OTU_551	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
OTU_552	0	0	0	0	0	2	0	0	0	0	0	0	2	9	0	0	0	3	5	1
OTU_553	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_555	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_556	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_558	0	0	0	0	1	0	0	0	0	84	0	0	0	1	0	0	0	0	0	22
OTU_559	1	0	0	1	1	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_560	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
OTU_561	0	0	0	0	0	0	0	0	0	0	1	0	9	3	3	0	4	1	0	0
OTU_562	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_563	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_564	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1
OTU_565	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_566	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_567	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_569	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0
OTU_570	0	0	1	5	0	0	10	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU_571	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_573	0	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0	0
OTU_574	0	6	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_575	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0
OTU_576	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0
OTU_577	1	0	2	1	0	30	2	0	1	0	0	0	0	0	0	0	0	0	0	3
OTU_578	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_579	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1
OTU_580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU_581	0	0	0	0	2	1	0	0	0	0	0	3	1	10	0	0	0	0	0	0
OTU_584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
OTU_586	4	0	2	0	0	17	1	0	10	1	0	0	0	0	0	0	10	0	0	5
OTU_587	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	4	3	1	0	0
OTU_588	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
OTU_592	0	0	0	9	1	2	0	0	0	0	0	3	0	0	4	3	0	0	0	0
OTU_594	0	0	0	0	0	0	0	0	0	0	2	1	9	2	1	0	4	0	2	0
OTU_595	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_598	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_599	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
OTU_600	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0
OTU_601	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_602	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	1	0
OTU_603	0	0	3	2	1	0	0	3	2	0	0	0	0	0	1	0	0	0	0	8
OTU_604	0	2	0	2	1	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_605	0	6	0	1	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1
OTU_608	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_609	0	0	1	0	1	1	0	2	0	1	0	7	1	1	1	0	1	2	7	0
OTU_610	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_612	0	0	1	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0
OTU_613	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_615	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_616	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	4	0
OTU_617	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_619	3	0	0	2	1	11	0	0	0	1	1	0	0	0	0	0	0	0	0	1
OTU_620	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_621	0	0	0	0	0	1	0	1	1	0	0	0	0	1	2	0	0	0	1	0
OTU_622	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_624	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU_628	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_632	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_633	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_634	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_635	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_639	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_640	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0
OTU_641	1	1	3	3	0	4	1	1	7	0	3	0	0	2	0	0	0	0	9	2
OTU_642	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_643	0	0	0	0	2	2	0	0	0	0	0	0	4	1	1	0	0	0	0	1
OTU_644	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_646	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU_647	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_648	16	0	4	26	0	3	15	28	4	3	0	0	1	6	0	0	0	0	1	0
OTU_652	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU_653	0	0	0	0	0	2	0	0	0	0	2	2	7	1	3	3	1	0	0	1
OTU_656	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
OTU_657	0	1	5	1	4	17	3	1	2	0	0	0	0	0	0	0	0	2	0	0
OTU_658	0	0	0	0	0	0	0	0	1	0	1	1	7	1	0	1	8	38	0	0
OTU_659	1	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	5
OTU_662	0	0	0	0	1	0	0	0	0	0	0	0	43	1	0	0	3	0	0	0
OTU_664	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
OTU_665	0	0	0	7	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4
OTU_667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_668	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
OTU_669	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_670	1	0	1	4	1	1	1	1	0	0	0	2	0	0	0	0	2	0	0	0
OTU_672	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU_673	17	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_674	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_676	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	4
OTU_677	0	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_680	1	0	0	1	0	2	1	0	1	0	0	0	0	1	0	0	0	1	0	0
OTU_681	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0
OTU_682	8	13	7	8	1	5	19	3	9	5	0	0	0	0	1	0	0	0	0	3
OTU_683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
OTU_684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
OTU_685	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2
OTU_688	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_689	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU_690	0	2	0	1	1	0	1	1	0	0	0	0	1	4	1	2	0	1	0	4
OTU_691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
OTU_692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_697	0	0	1	1	0	0	0	2	2	0	0	0	0	1	0	1	0	7	0	0
OTU_698	0	0	0	0	5	1	3	2	1	0	1	0	2	3	0	0	0	0	0	0
OTU_699	0	0	0	0	0	0	0	0	0	0	5	1	5	1	0	0	0	1	3	0
OTU_701	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_702	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0
OTU_706	20	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_709	0	0	0	0	4	0	0	0	0	4	0	1	0	1	0	0	0	6	11	1
OTU_711	0	0	0	0	0	17	0	0	0	17	0	0	0	0	14	17	0	0	0	0
OTU_712	0	2	0	1	2	2	0	4	5	0	0	0	0	0	0	0	0	0	0	0
OTU_715	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_716	7	0	1	3	1	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_720	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_724	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_726	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_728	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0
OTU_729	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	1
OTU_730	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_732	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_733	0	0	0	0	1	1	0	0	0	0	3	0	0	2	0	0	0	4	0	0
OTU_737	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_738	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	1	0	0	0
OTU_740	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	2	0	1
OTU_741	0	10	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_742	0	3	0	16	0	2	8	0	0	0	2	2	3	1	0	1	0	0	0	1
OTU_743	0	1	0	4	8	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_744	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0
OTU_746	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0
OTU_747	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
OTU_748	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_749	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
OTU_750	0	0	1	0	0	7	0	5	0	0	0	2	0	0	2	0	0	0	3	3
OTU_751	0	0	0	8	35	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_756	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0
OTU_757	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1
OTU_759	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_761	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_762	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
OTU_763	0	1	0	0	5	0	0	0	0	0	0	1	1	2	0	0	0	0	0	4
OTU_764	0	0	2	0	0	0	0	0	0	0	0	0	0	3	6	1	0	0	0	0
OTU_765	0	0	1	5	0	1	1	1	9	0	0	0	0	0	0	0	0	0	0	0
OTU_767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU_771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
OTU_772	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU_774	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU_777	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_778	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0
OTU_779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_780	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
OTU_782	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_783	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2
OTU_784	2	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_785	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0
OTU_788	0	0	2	4	2	1	2	3	0	1	0	0	0	0	0	0	0	0	0	0
OTU_789	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0
OTU_790	1	1	2	2	1	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0
OTU_791	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU_792	0	0	0	0	0	26	0	0	7	0	0	0	0	0	0	0	0	0	0	0
OTU_795	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_796	0	0	3	3	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0
OTU_797	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_798	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	7
