#OTU ID	m161004_131820_42237_c101086072550000001823265803091794_s1_p0	m161004_173440_42237_c101086072550000001823265803091795_s1_p0	m161004_215100_42237_c101086072550000001823265803091796_s1_p0	m161005_020720_42237_c101086072550000001823265803091797_s1_p0	m161005_062341_42237_c101086352550000001823265803091720_s1_p0	m161005_104000_42237_c101086352550000001823265803091721_s1_p0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/31499/ccs	15	7	4	5	3	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/31834/ccs	1	0	0	3	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/31849/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/31873/ccs	1	1	2	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/31910/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/31933/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32030/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32068/ccs	2	0	1	2	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32073/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/3233/ccs	3	0	0	1	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32346/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32391/ccs	1	1	0	2	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32408/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32483/ccs	8	1	3	1	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/3253/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32681/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32763/ccs	1	1	1	1	6	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32785/ccs	4	1	3	1	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32889/ccs	2	2	0	0	3	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/32968/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/33239/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/33488/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/33581/ccs	1	2	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/33594/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/33731/ccs	1	0	1	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/33898/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/33977/ccs	3	1	3	0	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/3424/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/34276/ccs	1	1	2	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/34363/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/34440/ccs	4	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/34659/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/34670/ccs	1	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35053/ccs	7	3	4	1	3	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35320/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35350/ccs	2	0	2	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35460/ccs	8	7	4	3	10	7
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35466/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35488/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/3552/ccs	2	1	0	0	3	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35562/ccs	1	0	0	1	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35732/ccs	3	2	0	2	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35840/ccs	5	1	3	0	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35885/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/35962/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/36121/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/36203/ccs	14	9	4	4	5	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/36294/ccs	2	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/36623/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/36656/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/36692/ccs	5	1	2	3	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/3671/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/36904/ccs	9	10	9	6	8	9
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/36980/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/37227/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/37322/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/37582/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/37730/ccs	3	0	0	0	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/3777/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/37787/ccs	1	0	1	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38247/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38418/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38536/ccs	1	0	0	0	2	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38542/ccs	5	1	4	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38544/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38561/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38578/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38826/ccs	1	0	1	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38836/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38859/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/38955/ccs	1	1	1	1	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/39046/ccs	3	0	2	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/39359/ccs	2	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/39364/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/39404/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/39493/ccs	1	0	0	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/3958/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/39798/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/39884/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/39895/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40143/ccs	1	1	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40211/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40217/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40239/ccs	1	0	2	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40288/ccs	2	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40378/ccs	1	0	1	5	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40403/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/4046/ccs	1	0	0	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40514/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40774/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40794/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40878/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/40992/ccs	2	3	1	1	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41083/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41208/ccs	1	0	1	0	2	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41232/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41359/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41374/ccs	5	1	2	2	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41401/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41458/ccs	6	1	2	2	3	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41465/ccs	2	0	2	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/41552/ccs	7	1	1	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/42374/ccs	2	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/4238/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/42455/ccs	11	3	4	3	1	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/42529/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/42672/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/42734/ccs	1	1	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/42843/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/42905/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/42936/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43063/ccs	1	1	0	2	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/4316/ccs	28	11	10	10	14	14
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43162/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43272/ccs	1	1	0	3	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43356/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43508/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43681/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43740/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43760/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43841/ccs	1	1	0	2	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/43854/ccs	3	2	2	0	4	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/44106/ccs	3	1	4	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/44157/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/44271/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/4431/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/44329/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/44613/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/44654/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/44713/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/4491/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/44961/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45012/ccs	2	1	3	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45047/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45059/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45139/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45198/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45366/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45374/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45436/ccs	3	0	1	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45551/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45843/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/45883/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/46207/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/46250/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/46293/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/46373/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/46608/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/46650/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/46666/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/46752/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/47089/ccs	1	0	1	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/47171/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/47238/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/47465/ccs	5	0	2	2	0	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/47801/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/47962/ccs	1	1	1	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/48106/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/48381/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/48489/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/48552/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/48736/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/48778/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/48855/ccs	1	2	0	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/49047/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/49096/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/49151/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/49194/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/49201/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/49378/ccs	2	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/49524/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/4974/ccs	2	0	1	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/4977/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/49904/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/50112/ccs	1	0	0	0	3	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5026/ccs	1	1	0	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/50521/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5061/ccs	2	1	2	1	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/50788/ccs	12	2	2	10	6	7
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5087/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/51046/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/51132/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5121/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/51279/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/51356/ccs	1	0	3	2	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/51709/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/51727/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5173/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/51903/ccs	1	0	0	2	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52108/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52230/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5236/ccs	2	1	4	1	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52379/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52499/ccs	1	1	1	0	3	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52579/ccs	6	3	1	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52592/ccs	17	5	2	6	3	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52699/ccs	1	1	2	2	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52724/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/52753/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/53043/ccs	2	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/533/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/53386/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/53507/ccs	1	4	0	2	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/53635/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/53710/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/54321/ccs	12	4	4	8	5	9
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/54435/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5470/ccs	10	3	3	6	7	8
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/55118/ccs	5	0	1	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5518/ccs	17	3	0	2	8	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/55226/ccs	1	0	0	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/55491/ccs	10	1	1	0	2	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/55555/ccs	8	1	3	2	5	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/55620/ccs	17	5	4	6	8	10
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5567/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/55761/ccs	1	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/55922/ccs	3	0	3	0	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/55997/ccs	2	0	1	1	3	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56008/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56019/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56090/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56155/ccs	2	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56271/ccs	4	1	0	0	1	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56312/ccs	1	0	1	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56522/ccs	11	6	2	2	4	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56544/ccs	3	1	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56866/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/56868/ccs	7	1	4	4	3	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/57060/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/57669/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/58034/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/58256/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/58336/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/58567/ccs	1	0	1	1	3	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/58746/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/58785/ccs	16	2	4	2	9	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/59145/ccs	1	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/59268/ccs	16	8	6	2	9	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/59293/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/59694/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/59709/ccs	7	1	0	2	7	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/59775/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/5993/ccs	1	0	1	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/60053/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/60183/ccs	1	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/6027/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/60286/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/60292/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/60308/ccs	1	1	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/60451/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/60863/ccs	1	2	2	0	6	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/60875/ccs	12	3	0	2	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/61260/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/61312/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/61527/ccs	1	0	0	1	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/61583/ccs	6	1	1	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/61786/ccs	1	0	0	0	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/61948/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/62224/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/62298/ccs	4	1	1	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/62506/ccs	28	6	8	5	15	8
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/62993/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/63031/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/6310/ccs	1	1	1	0	2	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/63122/ccs	2	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/63372/ccs	3	0	1	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/63663/ccs	28	12	2	15	5	9
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/63705/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/63979/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/63988/ccs	18	12	6	7	9	13
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/64068/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/64426/ccs	4	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/64587/ccs	4	1	2	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/64630/ccs	28	9	10	19	18	14
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/64686/ccs	1	1	0	4	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/64854/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/64865/ccs	3	0	2	0	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/65173/ccs	3	1	0	1	2	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/65229/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/6523/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/65242/ccs	13	3	2	2	4	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/65731/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/65950/ccs	2	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/6612/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/66220/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/66254/ccs	6	1	0	1	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/6646/ccs	1	0	0	0	0	0
