#OTU ID	m161004_131820_42237_c101086072550000001823265803091794_s1_p0	m161004_173440_42237_c101086072550000001823265803091795_s1_p0	m161004_215100_42237_c101086072550000001823265803091796_s1_p0	m161005_020720_42237_c101086072550000001823265803091797_s1_p0	m161005_062341_42237_c101086352550000001823265803091720_s1_p0	m161005_104000_42237_c101086352550000001823265803091721_s1_p0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/106673/ccs	2	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/106737/ccs	15	7	4	2	5	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/107259/ccs	1	1	0	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/107261/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/107401/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/107529/ccs	1	0	0	2	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/10756/ccs	3	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/107722/ccs	2	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/107850/ccs	1	1	1	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/107869/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/107952/ccs	1	0	0	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/108054/ccs	1	0	0	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/108304/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/108718/ccs	1	0	0	0	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/108725/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/108923/ccs	1	1	2	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/108937/ccs	3	1	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/108939/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/108966/ccs	5	1	2	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109029/ccs	56	10	10	13	7	13
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109083/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109165/ccs	2	0	0	2	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109244/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109258/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109487/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109604/ccs	1	0	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109728/ccs	1337	332	284	364	389	362
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109746/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109786/ccs	120	48	38	51	59	46
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109803/ccs	328	83	85	92	89	100
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/109968/ccs	1	1	2	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110062/ccs	323	112	98	123	105	106
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11009/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110185/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110187/ccs	300	82	90	112	100	96
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110218/ccs	15	1	1	3	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110335/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110587/ccs	181	33	36	44	32	49
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110671/ccs	227	51	49	89	81	70
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110674/ccs	2	0	0	1	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110790/ccs	28	31	4	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110880/ccs	2	1	0	1	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110887/ccs	24	3	4	6	5	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110980/ccs	315	82	78	96	100	92
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/110990/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/11110/ccs	2	2	2	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111134/ccs	3	1	6	4	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111149/ccs	182	44	44	45	55	58
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111245/ccs	6	2	1	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111305/ccs	1	1	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111335/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111352/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111665/ccs	123	38	28	30	38	28
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111922/ccs	2	1	0	3	2	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111948/ccs	100	13	16	19	25	26
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/111964/ccs	100	24	27	22	36	27
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/112010/ccs	1	0	0	0	0	0
